start,end,avg
2020-01-10 23:21:58.400000,2020-01-10 23:21:58.600000,-3.5,g
2020-01-10 23:21:58.600000,2020-01-10 23:21:58.800000,-3.5,g
2020-01-10 23:21:58.800000,2020-01-10 23:21:59,-3.5,g
2020-01-10 23:21:59,2020-01-10 23:21:59.200000,-3.5,g
2020-01-10 23:21:59.200000,2020-01-10 23:21:59.400000,-3.5,g
2020-01-10 23:21:59.400000,2020-01-10 23:21:59.600000,-3.5,g
2020-01-10 23:21:59.600000,2020-01-10 23:21:59.800000,-3.5,g
2020-01-10 23:21:59.800000,2020-01-10 23:22:00,-3.5,g
2020-01-10 23:22:00,2020-01-10 23:22:00.200000,-3.5,g
2020-01-10 23:22:00.200000,2020-01-10 23:22:00.400000,-3.5,g
2020-01-10 23:22:00.400000,2020-01-10 23:22:00.600000,-3.5,g
2020-01-10 23:22:00.600000,2020-01-10 23:22:00.800000,-3.5,g
2020-01-10 23:22:00.800000,2020-01-10 23:22:01,-3.5,g
2020-01-10 23:22:01,2020-01-10 23:22:01.200000,-3.5,g
2020-01-10 23:22:01.200000,2020-01-10 23:22:01.400000,-3.5,g
2020-01-10 23:22:01.400000,2020-01-10 23:22:01.600000,-3.5,g
2020-01-10 23:22:01.600000,2020-01-10 23:22:01.800000,-3.5,g
2020-01-10 23:22:01.800000,2020-01-10 23:22:02,-3.5,g
2020-01-10 23:22:02,2020-01-10 23:22:02.200000,-3.5,g
2020-01-10 23:22:02.200000,2020-01-10 23:22:02.400000,-3.5,g
2020-01-10 23:22:02.400000,2020-01-10 23:22:02.600000,-3.5,g
2020-01-10 23:22:02.600000,2020-01-10 23:22:02.800000,-3.5,g
2020-01-10 23:22:02.800000,2020-01-10 23:22:03,-3.5,g
2020-01-10 23:22:03,2020-01-10 23:22:03.200000,-3.5,g
2020-01-10 23:22:03.200000,2020-01-10 23:22:03.400000,-3.5,g
2020-01-10 23:22:03.400000,2020-01-10 23:22:03.600000,-3.5,g
2020-01-10 23:22:03.600000,2020-01-10 23:22:03.800000,-3.5,g
2020-01-10 23:22:03.800000,2020-01-10 23:22:04,-3.5,g
2020-01-10 23:22:04,2020-01-10 23:22:04.200000,-3.5,g
2020-01-10 23:22:04.200000,2020-01-10 23:22:04.400000,-3.5,g
2020-01-10 23:22:04.400000,2020-01-10 23:22:04.600000,-3.5,g
2020-01-10 23:22:04.600000,2020-01-10 23:22:04.800000,-3.5,g
2020-01-10 23:22:04.800000,2020-01-10 23:22:05,-3.5,g
2020-01-10 23:22:05,2020-01-10 23:22:05.200000,-3.5,g
2020-01-10 23:22:05.200000,2020-01-10 23:22:05.400000,-3.5,g
2020-01-10 23:22:05.400000,2020-01-10 23:22:05.600000,-3.5,g
2020-01-10 23:22:05.600000,2020-01-10 23:22:05.800000,-3.5,g
2020-01-10 23:22:05.800000,2020-01-10 23:22:06,-3.5,g
2020-01-10 23:22:06,2020-01-10 23:22:06.200000,-3.5,g
2020-01-10 23:22:06.200000,2020-01-10 23:22:06.400000,-3.5,g
2020-01-10 23:22:06.400000,2020-01-10 23:22:06.600000,-3.5,g
2020-01-10 23:22:06.600000,2020-01-10 23:22:06.800000,-3.5,g
2020-01-10 23:22:06.800000,2020-01-10 23:22:07,-3.5,g
2020-01-10 23:22:07,2020-01-10 23:22:07.200000,-3.5,g
2020-01-10 23:22:07.200000,2020-01-10 23:22:07.400000,-3.5,g
2020-01-10 23:22:07.400000,2020-01-10 23:22:07.600000,-3.5,g
2020-01-10 23:22:07.600000,2020-01-10 23:22:07.800000,-3.5,g
2020-01-10 23:22:07.800000,2020-01-10 23:22:08,-3.5,g
2020-01-10 23:22:08,2020-01-10 23:22:08.200000,-3.5,g
2020-01-10 23:22:08.200000,2020-01-10 23:22:08.400000,-3.5,g
2020-01-10 23:22:08.400000,2020-01-10 23:22:08.600000,-3.5,g
2020-01-10 23:22:08.600000,2020-01-10 23:22:08.800000,-3.5,g
2020-01-10 23:22:08.800000,2020-01-10 23:22:09,-3.5,g
2020-01-10 23:22:09,2020-01-10 23:22:09.200000,-3.5,g
