start,end,avg
2020-01-10 20:15:58.600000,2020-01-10 20:15:58.800000,-83.625,g
2020-01-10 20:15:58.800000,2020-01-10 20:15:59,-83.063,g
2020-01-10 20:15:59,2020-01-10 20:15:59.200000,-83.438,g
2020-01-10 20:15:59.200000,2020-01-10 20:15:59.400000,-83.438,g
2020-01-10 20:15:59.400000,2020-01-10 20:15:59.600000,-83.375,g
2020-01-10 20:15:59.600000,2020-01-10 20:15:59.800000,-83.313,g
2020-01-10 20:15:59.800000,2020-01-10 20:16:00,-83.313,g
2020-01-10 20:16:00,2020-01-10 20:16:00.200000,-83.563,g
2020-01-10 20:16:00.200000,2020-01-10 20:16:00.400000,-83.563,g
2020-01-10 20:16:00.400000,2020-01-10 20:16:00.600000,-83.375,g
2020-01-10 20:16:00.600000,2020-01-10 20:16:00.800000,-83.688,g
2020-01-10 20:16:00.800000,2020-01-10 20:16:01,-83.438,g
2020-01-10 20:16:01,2020-01-10 20:16:01.200000,-83.25,g
2020-01-10 20:16:01.200000,2020-01-10 20:16:01.400000,-83.625,g
2020-01-10 20:16:01.400000,2020-01-10 20:16:01.600000,-83.5,g
2020-01-10 20:16:01.600000,2020-01-10 20:16:01.800000,-83.563,g
2020-01-10 20:16:01.800000,2020-01-10 20:16:02,-83.5,g
2020-01-10 20:16:02,2020-01-10 20:16:02.200000,-83.375,g
2020-01-10 20:16:02.200000,2020-01-10 20:16:02.400000,-83.063,g
2020-01-10 20:16:02.400000,2020-01-10 20:16:02.600000,-83.5,g
2020-01-10 20:16:02.600000,2020-01-10 20:16:02.800000,-83.188,g
2020-01-10 20:16:02.800000,2020-01-10 20:16:03,-83.563,g
2020-01-10 20:16:03,2020-01-10 20:16:03.200000,-84.25,g
2020-01-10 20:16:03.200000,2020-01-10 20:16:03.400000,-83.438,g
2020-01-10 20:16:03.400000,2020-01-10 20:16:03.600000,-83.813,g
2020-01-10 20:16:03.600000,2020-01-10 20:16:03.800000,-84.063,g
2020-01-10 20:16:03.800000,2020-01-10 20:16:04,-83.563,g
2020-01-10 20:16:04,2020-01-10 20:16:04.200000,-83.563,g
2020-01-10 20:16:04.200000,2020-01-10 20:16:04.400000,-83.813,g
2020-01-10 20:16:04.400000,2020-01-10 20:16:04.600000,-83.5,g
2020-01-10 20:16:04.600000,2020-01-10 20:16:04.800000,-83.563,g
2020-01-10 20:16:04.800000,2020-01-10 20:16:05,-83.813,g
2020-01-10 20:16:05,2020-01-10 20:16:05.200000,-83.75,g
2020-01-10 20:16:05.200000,2020-01-10 20:16:05.400000,-83.75,g
2020-01-10 20:16:05.400000,2020-01-10 20:16:05.600000,-83.75,g
2020-01-10 20:16:05.600000,2020-01-10 20:16:05.800000,-83.75,g
2020-01-10 20:16:05.800000,2020-01-10 20:16:06,-83.75,g
2020-01-10 20:16:06,2020-01-10 20:16:06.200000,-83.75,g
2020-01-10 20:16:06.200000,2020-01-10 20:16:06.400000,-83.75,g
2020-01-10 20:16:06.400000,2020-01-10 20:16:06.600000,-83.75,g
2020-01-10 20:16:06.600000,2020-01-10 20:16:06.800000,-83.625,g
2020-01-10 20:16:06.800000,2020-01-10 20:16:07,-83.813,g
2020-01-10 20:16:07,2020-01-10 20:16:07.200000,-83.688,g
2020-01-10 20:16:07.200000,2020-01-10 20:16:07.400000,-83.563,g
2020-01-10 20:16:07.400000,2020-01-10 20:16:07.600000,-83.75,g
2020-01-10 20:16:07.600000,2020-01-10 20:16:07.800000,-83.688,g
2020-01-10 20:16:07.800000,2020-01-10 20:16:08,-83.563,g
2020-01-10 20:16:08,2020-01-10 20:16:08.200000,-83.75,g
2020-01-10 20:16:08.200000,2020-01-10 20:16:08.400000,-83.688,g
2020-01-10 20:16:08.400000,2020-01-10 20:16:08.600000,-83.625,g
2020-01-10 20:16:08.600000,2020-01-10 20:16:08.800000,-83.813,g
2020-01-10 20:16:08.800000,2020-01-10 20:16:09,-83.75,g
2020-01-10 20:16:09,2020-01-10 20:16:09.200000,-83.75,g
2020-01-10 20:16:09.200000,2020-01-10 20:16:09.400000,-83.75,g
2020-01-10 20:16:09.400000,2020-01-10 20:16:09.600000,-83.75,g
2020-01-10 20:16:09.600000,2020-01-10 20:16:09.800000,-83.75,g
2020-01-10 20:16:09.800000,2020-01-10 20:16:10,-83.75,g
2020-01-10 20:16:10,2020-01-10 20:16:10.200000,-83.75,g
2020-01-10 20:16:10.200000,2020-01-10 20:16:10.400000,-83.75,g
2020-01-10 20:16:10.400000,2020-01-10 20:16:10.600000,-83.75,g
2020-01-10 20:16:10.600000,2020-01-10 20:16:10.800000,-83.75,g
2020-01-10 20:16:10.800000,2020-01-10 20:16:11,-83.75,g
