start,end,avg
2020-01-09 10:02:25.730000,2020-01-09 10:02:26.730000,233.687,g
2020-01-09 10:02:26.730000,2020-01-09 10:02:27.730000,233.687,g
2020-01-09 10:02:27.730000,2020-01-09 10:02:28.730000,233.687,g
2020-01-09 10:02:28.730000,2020-01-09 10:02:29.730000,233.687,g
2020-01-09 10:02:29.730000,2020-01-09 10:02:30.730000,233.75,g
2020-01-09 10:02:30.730000,2020-01-09 10:02:31.730000,233.75,g
2020-01-09 10:02:31.730000,2020-01-09 10:02:32.730000,233.75,g
2020-01-09 10:02:32.730000,2020-01-09 10:02:33.730000,233.75,g
2020-01-09 10:02:33.730000,2020-01-09 10:02:34.730000,233.75,g
2020-01-09 10:02:34.730000,2020-01-09 10:02:35.730000,233.75,g
2020-01-09 10:02:35.730000,2020-01-09 10:02:36.730000,233.75,g
2020-01-09 10:02:36.730000,2020-01-09 10:02:37.730000,233.75,g
2020-01-09 10:04:06.730000,2020-01-09 10:04:07.730000,233.812,g
2020-01-09 10:04:07.730000,2020-01-09 10:04:08.730000,233.812,g
2020-01-09 10:04:08.730000,2020-01-09 10:04:09.730000,233.812,g
2020-01-09 10:04:09.730000,2020-01-09 10:04:10.730000,233.812,g
2020-01-09 10:04:10.730000,2020-01-09 10:04:11.730000,233.812,g
2020-01-09 10:04:11.730000,2020-01-09 10:04:12.730000,233.812,g
2020-01-09 10:04:12.730000,2020-01-09 10:04:13.730000,233.812,g
2020-01-09 10:04:13.730000,2020-01-09 10:04:14.730000,233.812,g
2020-01-09 10:04:14.730000,2020-01-09 10:04:15.730000,233.812,g
2020-01-09 10:04:15.730000,2020-01-09 10:04:16.730000,233.812,g
2020-01-09 10:04:16.730000,2020-01-09 10:04:17.730000,233.812,g
2020-01-09 10:04:17.730000,2020-01-09 10:04:18.730000,233.812,g
2020-01-09 10:07:39.730000,2020-01-09 10:07:40.730000,233.875,g
2020-01-09 10:07:40.730000,2020-01-09 10:07:41.730000,233.875,g
2020-01-09 10:07:41.730000,2020-01-09 10:07:42.730000,233.875,g
2020-01-09 10:07:42.730000,2020-01-09 10:07:43.730000,233.875,g
2020-01-09 10:07:43.730000,2020-01-09 10:07:44.730000,233.875,g
2020-01-09 10:07:44.730000,2020-01-09 10:07:45.730000,233.875,g
2020-01-09 10:07:45.730000,2020-01-09 10:07:46.730000,233.875,g
2020-01-09 10:07:46.730000,2020-01-09 10:07:47.730000,233.875,g
2020-01-09 10:07:47.730000,2020-01-09 10:07:48.730000,233.875,g
2020-01-09 10:07:48.730000,2020-01-09 10:07:49.730000,233.875,g
2020-01-09 10:07:49.730000,2020-01-09 10:07:50.730000,233.875,g
2020-01-09 10:08:19.730000,2020-01-09 10:08:20.730000,233.937,g
2020-01-09 10:08:20.730000,2020-01-09 10:08:21.730000,233.937,g
2020-01-09 10:08:21.730000,2020-01-09 10:08:22.730000,233.937,g
2020-01-09 10:08:22.730000,2020-01-09 10:08:23.730000,233.937,g
2020-01-09 10:08:23.730000,2020-01-09 10:08:24.730000,233.937,g
2020-01-09 10:08:24.730000,2020-01-09 10:08:25.730000,233.937,g
2020-01-09 10:08:25.730000,2020-01-09 10:08:26.730000,233.937,g
2020-01-09 10:08:26.730000,2020-01-09 10:08:27.730000,233.937,g
2020-01-09 10:08:27.730000,2020-01-09 10:08:28.730000,233.937,g
2020-01-09 10:08:28.730000,2020-01-09 10:08:29.730000,233.937,g
2020-01-09 10:08:29.730000,2020-01-09 10:08:30.730000,233.937,g
2020-01-09 10:08:30.730000,2020-01-09 10:08:31.730000,233.937,g
2020-01-09 12:00:09.980000,2020-01-09 12:00:10.980000,253.125,g
2020-01-09 12:00:10.980000,2020-01-09 12:00:11.980000,253.125,g
2020-01-09 12:00:11.980000,2020-01-09 12:00:12.980000,253.187,g
2020-01-09 12:00:12.980000,2020-01-09 12:00:13.980000,253.187,g
2020-01-09 12:00:13.980000,2020-01-09 12:00:14.980000,253.187,g
2020-01-09 12:00:14.980000,2020-01-09 12:00:15.980000,253.187,g
2020-01-09 12:00:15.980000,2020-01-09 12:00:16.980000,253.187,g
2020-01-09 12:00:16.980000,2020-01-09 12:00:17.980000,253.187,g
2020-01-09 12:00:17.980000,2020-01-09 12:00:18.980000,37.0,g
2020-01-09 12:00:18.980000,2020-01-09 12:00:19.980000,198.062,g
2020-01-09 12:00:19.980000,2020-01-09 12:00:20.980000,70.75,g
2020-01-09 12:00:20.980000,2020-01-09 12:00:21.980000,177.125,g
2020-01-09 15:14:57.200000,2020-01-09 15:14:57.400000,333.937,g
2020-01-09 15:14:57.400000,2020-01-09 15:14:57.600000,333.687,g
2020-01-09 15:14:57.600000,2020-01-09 15:14:57.800000,335.0,g
2020-01-09 15:14:57.800000,2020-01-09 15:14:58,334.0,g
2020-01-09 15:14:58,2020-01-09 15:14:58.200000,334.625,g
2020-01-09 15:14:58.200000,2020-01-09 15:14:58.400000,334.687,g
2020-01-09 15:14:58.400000,2020-01-09 15:14:58.600000,335.25,g
2020-01-09 15:14:58.600000,2020-01-09 15:14:58.800000,335.125,g
2020-01-09 15:14:58.800000,2020-01-09 15:14:59,335.687,g
2020-01-09 15:14:59,2020-01-09 15:14:59.200000,335.625,g
2020-01-09 15:14:59.200000,2020-01-09 15:14:59.400000,334.937,g
2020-01-09 15:14:59.400000,2020-01-09 15:14:59.600000,337.437,g
2020-01-09 15:14:59.600000,2020-01-09 15:14:59.800000,335.812,g
2020-01-09 15:14:59.800000,2020-01-09 15:15:00,334.25,g
2020-01-09 15:15:00,2020-01-09 15:15:00.200000,336.437,g
2020-01-09 15:15:00.200000,2020-01-09 15:15:00.400000,336.75,g
2020-01-09 15:15:00.400000,2020-01-09 15:15:00.600000,335.562,g
2020-01-09 15:15:00.600000,2020-01-09 15:15:00.800000,336.062,g
2020-01-09 15:15:00.800000,2020-01-09 15:15:01,336.625,g
2020-01-09 15:15:01,2020-01-09 15:15:01.200000,335.937,g
2020-01-09 15:15:01.200000,2020-01-09 15:15:01.400000,320.187,g
2020-01-09 15:15:01.400000,2020-01-09 15:15:01.600000,290.812,g
