start,end,avg
2020-01-10 20:16:56.800000,2020-01-10 20:16:57,45.062,g
2020-01-10 20:16:57,2020-01-10 20:16:57.200000,45.687,g
2020-01-10 20:16:57.200000,2020-01-10 20:16:57.400000,45.687,g
2020-01-10 20:16:57.400000,2020-01-10 20:16:57.600000,44.875,g
2020-01-10 20:16:57.600000,2020-01-10 20:16:57.800000,45.75,g
2020-01-10 20:16:57.800000,2020-01-10 20:16:58,45.312,g
2020-01-10 20:16:58,2020-01-10 20:16:58.200000,45.562,g
2020-01-10 20:16:58.200000,2020-01-10 20:16:58.400000,45.312,g
2020-01-10 20:16:58.400000,2020-01-10 20:16:58.600000,45.5,g
2020-01-10 20:16:58.600000,2020-01-10 20:16:58.800000,45.437,g
2020-01-10 20:16:58.800000,2020-01-10 20:16:59,45.75,g
2020-01-10 20:16:59,2020-01-10 20:16:59.200000,45.187,g
2020-01-10 20:16:59.200000,2020-01-10 20:16:59.400000,45.437,g
2020-01-10 20:16:59.400000,2020-01-10 20:16:59.600000,44.937,g
2020-01-10 20:16:59.600000,2020-01-10 20:16:59.800000,45.312,g
2020-01-10 20:16:59.800000,2020-01-10 20:17:00,44.562,g
2020-01-10 20:17:00,2020-01-10 20:17:00.200000,45.812,g
2020-01-10 20:17:00.200000,2020-01-10 20:17:00.400000,45.0,g
2020-01-10 20:17:00.400000,2020-01-10 20:17:00.600000,45.937,g
2020-01-10 20:17:00.600000,2020-01-10 20:17:00.800000,45.375,g
2020-01-10 20:17:00.800000,2020-01-10 20:17:01,45.75,g
2020-01-10 20:17:01,2020-01-10 20:17:01.200000,45.312,g
2020-01-10 20:17:01.200000,2020-01-10 20:17:01.400000,46.062,g
2020-01-10 20:17:01.400000,2020-01-10 20:17:01.600000,45.875,g
2020-01-10 20:17:01.600000,2020-01-10 20:17:01.800000,45.062,g
2020-01-10 20:17:01.800000,2020-01-10 20:17:02,45.0,g
2020-01-10 20:17:02,2020-01-10 20:17:02.200000,46.375,g
2020-01-10 20:17:02.200000,2020-01-10 20:17:02.400000,44.625,g
2020-01-10 20:17:02.400000,2020-01-10 20:17:02.600000,45.312,g
2020-01-10 20:17:02.600000,2020-01-10 20:17:02.800000,46.562,g
2020-01-10 20:17:02.800000,2020-01-10 20:17:03,46.562,g
2020-01-10 20:17:03,2020-01-10 20:17:03.200000,46.0,g
2020-01-10 20:17:03.200000,2020-01-10 20:17:03.400000,46.875,g
2020-01-10 20:17:03.400000,2020-01-10 20:17:03.600000,45.937,g
2020-01-10 20:17:03.600000,2020-01-10 20:17:03.800000,45.875,g
2020-01-10 20:17:03.800000,2020-01-10 20:17:04,46.562,g
2020-01-10 20:17:04,2020-01-10 20:17:04.200000,46.0,g
2020-01-10 20:17:04.200000,2020-01-10 20:17:04.400000,45.25,g
2020-01-10 20:17:04.400000,2020-01-10 20:17:04.600000,45.812,g
2020-01-10 20:17:04.600000,2020-01-10 20:17:04.800000,46.0,g
2020-01-10 20:17:04.800000,2020-01-10 20:17:05,45.5,g
2020-01-10 20:17:05,2020-01-10 20:17:05.200000,45.75,g
2020-01-10 20:17:05.200000,2020-01-10 20:17:05.400000,45.812,g
2020-01-10 20:17:05.400000,2020-01-10 20:17:05.600000,45.687,g
2020-01-10 20:17:05.600000,2020-01-10 20:17:05.800000,45.812,g
2020-01-10 20:17:05.800000,2020-01-10 20:17:06,46.0,g
2020-01-10 20:17:06,2020-01-10 20:17:06.200000,45.812,g
2020-01-10 20:17:06.200000,2020-01-10 20:17:06.400000,45.812,g
2020-01-10 20:17:06.400000,2020-01-10 20:17:06.600000,45.812,g
2020-01-10 20:17:06.600000,2020-01-10 20:17:06.800000,45.812,g
2020-01-10 20:17:06.800000,2020-01-10 20:17:07,45.875,g
2020-01-10 20:17:07,2020-01-10 20:17:07.200000,45.875,g
2020-01-10 20:17:07.200000,2020-01-10 20:17:07.400000,45.875,g
2020-01-10 20:17:07.400000,2020-01-10 20:17:07.600000,45.937,g
2020-01-10 20:17:07.600000,2020-01-10 20:17:07.800000,45.937,g
2020-01-10 20:17:07.800000,2020-01-10 20:17:08,45.937,g
2020-01-10 20:17:08,2020-01-10 20:17:08.200000,45.937,g
2020-01-10 20:17:08.200000,2020-01-10 20:17:08.400000,45.937,g
2020-01-10 20:17:08.400000,2020-01-10 20:17:08.600000,45.937,g
2020-01-10 20:17:08.600000,2020-01-10 20:17:08.800000,45.937,g
2020-01-10 20:17:08.800000,2020-01-10 20:17:09,45.937,g
2020-01-10 20:17:09,2020-01-10 20:17:09.200000,45.937,g
2020-01-10 20:17:09.200000,2020-01-10 20:17:09.400000,45.937,g
2020-01-10 20:17:09.400000,2020-01-10 20:17:09.600000,45.937,g
2020-01-10 20:17:09.600000,2020-01-10 20:17:09.800000,45.937,g
